Year,Date,Hour,Minute,Upstream,Downstream,Passage,Reviewer,Comments
2018,3-Jul,21:00:00,40,NA,NA,NA,NA,NA
2018,3-Jul,21:00:00,50,NA,NA,0,NA,NA
2018,3-Jul,22:00:00,0,NA,NA,0,NA,NA
2018,3-Jul,22:00:00,10,NA,NA,0,NA,NA
2018,3-Jul,22:00:00,20,NA,NA,0,NA,NA
2018,3-Jul,22:00:00,30,NA,NA,0,NA,NA
2018,3-Jul,22:00:00,40,NA,NA,0,NA,NA
2018,3-Jul,22:00:00,50,NA,NA,0,NA,NA
2018,3-Jul,23:00:00,0,NA,NA,0,NA,NA
2018,3-Jul,23:00:00,10,NA,NA,0,NA,NA
2018,3-Jul,23:00:00,20,NA,NA,0,NA,NA
2018,3-Jul,23:00:00,30,NA,NA,0,NA,NA
2018,3-Jul,23:00:00,40,NA,NA,0,NA,NA
2018,3-Jul,23:00:00,50,NA,NA,0,NA,NA
2018,4-Jul,00:00:00,0,0,0,0,EPA,NA
2018,4-Jul,00:00:00,10,2,0,2,EPA,NA
2018,4-Jul,00:00:00,20,NA,NA,0,NA,NA
2018,4-Jul,00:00:00,30,NA,NA,0,NA,NA
2018,4-Jul,00:00:00,40,NA,NA,0,NA,NA
2018,4-Jul,00:00:00,50,NA,NA,0,NA,NA
2018,4-Jul,01:00:00,0,1,0,1,EPA,NA
2018,4-Jul,01:00:00,10,0,0,0,EPA,NA
2018,4-Jul,01:00:00,20,NA,NA,0,NA,NA
2018,4-Jul,01:00:00,30,NA,NA,0,NA,NA
2018,4-Jul,01:00:00,40,NA,NA,0,NA,NA
2018,4-Jul,01:00:00,50,NA,NA,0,NA,NA
2018,4-Jul,02:00:00,0,1,0,1,EPA,NA
2018,4-Jul,02:00:00,10,0,0,0,EPA,NA
2018,4-Jul,02:00:00,20,NA,NA,0,NA,NA
2018,4-Jul,02:00:00,30,NA,NA,0,NA,NA
2018,4-Jul,02:00:00,40,NA,NA,0,NA,NA
2018,4-Jul,02:00:00,50,NA,NA,0,NA,NA
2018,4-Jul,03:00:00,0,0,0,0,EPA,NA
2018,4-Jul,03:00:00,10,0,0,0,EPA,NA
2018,4-Jul,03:00:00,20,NA,NA,0,NA,NA
2018,4-Jul,03:00:00,30,NA,NA,0,NA,NA
2018,4-Jul,03:00:00,40,NA,NA,0,NA,NA
2018,4-Jul,03:00:00,50,NA,NA,0,NA,NA
2018,4-Jul,04:00:00,0,3,0,3,EPA,NA
2018,4-Jul,04:00:00,10,0,0,0,EPA,NA
2018,4-Jul,04:00:00,20,NA,NA,0,NA,NA
2018,4-Jul,04:00:00,30,NA,NA,0,NA,NA
2018,4-Jul,04:00:00,40,NA,NA,0,NA,NA
2018,4-Jul,04:00:00,50,0,0,0,EPA,NA
2018,4-Jul,05:00:00,0,1,0,1,EPA,NA
2018,4-Jul,05:00:00,10,0,0,0,WK,NA
2018,4-Jul,05:00:00,20,NA,NA,0,NA,NA
