Year,Date,Hour,Minute,Upstream,Downstream,Passage,Reviewer,Comments
2017,17-Jul,12:00,30,,,0,,
2017,17-Jul,12:00,40,,,0,,
2017,17-Jul,12:00,50,152,0,152,JMK,
2017,17-Jul,13:00,0,77,1,76,JMK,
2017,17-Jul,13:00,10,61,2,59,EPA,
2017,17-Jul,13:00,20,,,0,,
2017,17-Jul,13:00,30,,,0,,
2017,17-Jul,13:00,40,,,0,,
2017,17-Jul,13:00,50,,,0,,
2017,17-Jul,14:00,0,139,0,139,EPA,
2017,17-Jul,14:00,10,,,0,,
2017,17-Jul,14:00,20,,,0,,
2017,17-Jul,14:00,30,,,0,,
2017,17-Jul,14:00,40,,,0,,
2017,17-Jul,14:00,50,111,0,111,JMK,
2017,17-Jul,15:00,0,104,0,104,JMK,
2017,17-Jul,15:00,10,111,1,110,EPA,
2017,17-Jul,15:00,20,,,0,,
2017,17-Jul,15:00,30,,,0,,
2017,17-Jul,15:00,40,,,0,,
2017,17-Jul,15:00,50,,,0,,
2017,17-Jul,16:00,0,152,0,152,EPA,
2017,17-Jul,16:00,10,108,0,108,EPA,
2017,17-Jul,16:00,20,,,0,,
2017,17-Jul,16:00,30,,,0,,
2017,17-Jul,16:00,40,,,0,,
2017,17-Jul,16:00,50,97,5,92,JMK,
2017,17-Jul,17:00,0,182,2,180,JMK,
2017,17-Jul,17:00,10,195,2,193,EPA,
2017,17-Jul,17:00,20,,,0,,
2017,17-Jul,17:00,30,,,0,,
2017,17-Jul,17:00,40,,,0,,
2017,17-Jul,17:00,50,,,0,,
2017,17-Jul,18:00,0,118,8,110,EPA,
2017,17-Jul,18:00,10,49,0,49,EPA,
2017,17-Jul,18:00,20,,,0,,
2017,17-Jul,18:00,30,,,0,,
2017,17-Jul,18:00,40,,,0,,
2017,17-Jul,18:00,50,105,0,105,JMK,
2017,17-Jul,19:00,0,20,1,19,JMK,
2017,17-Jul,19:00,10,30,0,30,EPA,
2017,17-Jul,19:00,20,,,0,,
2017,17-Jul,19:00,30,,,0,,
2017,17-Jul,19:00,40,,,0,,
2017,17-Jul,19:00,50,,,0,,
2017,17-Jul,20:00,0,32,2,30,EPA,
2017,17-Jul,20:00,10,77,11,66,EPA,
2017,17-Jul,20:00,20,,,0,,
2017,17-Jul,20:00,30,,,0,,
2017,17-Jul,20:00,40,,,0,,
2017,17-Jul,20:00,50,64,0,64,JMK,
2017,17-Jul,21:00,0,117,0,117,JMK,
2017,17-Jul,21:00,10,96,0,96,EPA,
2017,17-Jul,21:00,20,,,0,,
2017,17-Jul,21:00,30,,,0,,
2017,17-Jul,21:00,40,,,0,,
2017,17-Jul,21:00,50,,,0,,
2017,17-Jul,22:00,0,44,1,43,EPA,
2017,17-Jul,22:00,10,70,1,69,EPA,
2017,17-Jul,22:00,20,,,0,,
2017,17-Jul,22:00,30,,,0,,
2017,17-Jul,22:00,40,,,0,,
2017,17-Jul,22:00,50,3,2,1,JMK,
2017,17-Jul,23:00,0,7,0,7,JMK,
2017,17-Jul,23:00,10,37,28,9,EPA,
2017,17-Jul,23:00,20,,,0,,
2017,17-Jul,23:00,30,,,0,,
2017,17-Jul,23:00,40,,,0,,
2017,17-Jul,23:00,50,,,0,,
2017,18-Jul,0:00,0,2,2,0,JMK,
2017,18-Jul,0:00,10,4,1,3,JMK,
2017,18-Jul,0:00,20,,,0,,
2017,18-Jul,0:00,30,,,0,,
2017,18-Jul,0:00,40,,,0,,
2017,18-Jul,0:00,50,,,0,,
2017,18-Jul,1:00,0,4,0,4,JMK,
2017,18-Jul,1:00,10,0,1,-1,JMK,
2017,18-Jul,1:00,20,,,0,,
2017,18-Jul,1:00,30,,,0,,
2017,18-Jul,1:00,40,,,0,,
2017,18-Jul,1:00,50,,,0,,
2017,18-Jul,2:00,0,6,1,5,JMK,
2017,18-Jul,2:00,10,4,0,4,JMK,
2017,18-Jul,2:00,20,,,0,,
2017,18-Jul,2:00,30,,,0,,
2017,18-Jul,2:00,40,,,0,,
2017,18-Jul,2:00,50,,,0,,
2017,18-Jul,3:00,0,6,1,5,EPA,
2017,18-Jul,3:00,10,,,0,,
2017,18-Jul,3:00,20,,,0,,
2017,18-Jul,3:00,30,,,0,,
2017,18-Jul,3:00,40,,,0,,
2017,18-Jul,3:00,50,,,0,,
2017,18-Jul,4:00,0,3,0,3,JMK,
2017,18-Jul,4:00,10,,,0,,
2017,18-Jul,4:00,20,,,0,,
2017,18-Jul,4:00,30,,,0,,
2017,18-Jul,4:00,40,,,0,,
2017,18-Jul,4:00,50,46,0,46,EPA,
2017,18-Jul,5:00,0,74,1,73,EPA,
2017,18-Jul,5:00,10,,,0,,
2017,18-Jul,5:00,20,,,0,,
2017,18-Jul,5:00,30,,,0,,
2017,18-Jul,5:00,40,,,0,,
2017,18-Jul,5:00,50,,,0,,
2017,18-Jul,6:00,0,7,1,6,JMK,
2017,18-Jul,6:00,10,,,0,,
2017,18-Jul,6:00,20,,,0,,
2017,18-Jul,6:00,30,,,0,,
2017,18-Jul,6:00,40,,,0,,
2017,18-Jul,6:00,50,20,0,20,EPA,
2017,18-Jul,7:00,0,3,1,2,VTR,
2017,18-Jul,7:00,10,,,0,,
2017,18-Jul,7:00,20,,,0,,
2017,18-Jul,7:00,30,,,0,,
2017,18-Jul,7:00,40,,,0,,
2017,18-Jul,7:00,50,,,0,,
2017,18-Jul,8:00,0,6,2,4,JMK,
2017,18-Jul,8:00,10,,,0,,
2017,18-Jul,8:00,20,,,0,,
2017,18-Jul,8:00,30,,,0,,
2017,18-Jul,8:00,40,,,0,,
2017,18-Jul,8:00,50,120,0,120,VTR,
2017,18-Jul,9:00,0,45,2,43,VTR,
2017,18-Jul,9:00,10,,,0,,
2017,18-Jul,9:00,20,,,0,,
2017,18-Jul,9:00,30,,,0,,
2017,18-Jul,9:00,40,,,0,,
2017,18-Jul,9:00,50,,,0,,
2017,18-Jul,10:00,0,10,0,10,JMK,
2017,18-Jul,10:00,10,,,0,,
2017,18-Jul,10:00,20,,,0,,
2017,18-Jul,10:00,30,,,0,,
2017,18-Jul,10:00,40,,,0,,
2017,18-Jul,10:00,50,372,0,372,VTR,
2017,18-Jul,11:00,0,151,1,150,VTR,
2017,18-Jul,11:00,10,,,0,,
2017,18-Jul,11:00,20,,,0,,
2017,18-Jul,11:00,30,,,0,,
2017,18-Jul,11:00,40,,,0,,
2017,18-Jul,11:00,50,,,0,,
2017,18-Jul,12:00,0,153,0,153,JMK,
2017,18-Jul,12:00,10,,,0,,
2017,18-Jul,12:00,20,,,0,,
2017,18-Jul,12:00,30,,,0,,
2017,18-Jul,12:00,40,,,0,,
2017,18-Jul,12:00,50,235,4,231,VTR,
2017,18-Jul,13:00,0,172,0,172,VTR,
2017,18-Jul,13:00,10,,,0,,
2017,18-Jul,13:00,20,,,0,,
2017,18-Jul,13:00,30,,,0,,
2017,18-Jul,13:00,40,,,0,,
2017,18-Jul,13:00,50,,,0,,
2017,18-Jul,14:00,0,204,1,203,JMK,
2017,18-Jul,14:00,10,,,0,,
2017,18-Jul,14:00,20,,,0,,
2017,18-Jul,14:00,30,,,0,,
2017,18-Jul,14:00,40,,,0,,
2017,18-Jul,14:00,50,NO FILE ,NO FILE,#VALUE!,NO FILE,
2017,18-Jul,15:00,0,NO FILE ,NO FILE,#VALUE!,NO FILE,
2017,18-Jul,15:00,10,,,0,,
2017,18-Jul,15:00,20,,,0,,
2017,18-Jul,15:00,30,,,0,,
2017,18-Jul,15:00,40,,,0,,
2017,18-Jul,15:00,50,,,0,,
2017,18-Jul,16:00,0,NO FILE ,NO FILE ,#VALUE!,NO FILE ,
2017,18-Jul,16:00,10,,,0,,
2017,18-Jul,16:00,20,,,0,,
2017,18-Jul,16:00,30,,,0,,
2017,18-Jul,16:00,40,,,0,,
2017,18-Jul,16:00,50,165,1,164,VTR,
2017,18-Jul,17:00,0,214,0,214,VTR,
2017,18-Jul,17:00,10,,,0,,
2017,18-Jul,17:00,20,,,0,,
2017,18-Jul,17:00,30,,,0,,
2017,18-Jul,17:00,40,,,0,,
2017,18-Jul,17:00,50,,,0,,
2017,18-Jul,18:00,0,97,1,96,EPA,
2017,18-Jul,18:00,10,,,0,,
2017,18-Jul,18:00,20,,,0,,
2017,18-Jul,18:00,30,,,0,,
2017,18-Jul,18:00,40,,,0,,
2017,18-Jul,18:00,50,110,0,110,VTR,
2017,18-Jul,19:00,0,106,0,106,VTR,
2017,18-Jul,19:00,10,,,0,,
2017,18-Jul,19:00,20,,,0,,
2017,18-Jul,19:00,30,,,0,,
2017,18-Jul,19:00,40,,,0,,
2017,18-Jul,19:00,50,,,0,,
2017,18-Jul,20:00,0,85,4,81,JMK,
2017,18-Jul,20:00,10,,,0,,
2017,18-Jul,20:00,20,,,0,,
2017,18-Jul,20:00,30,,,0,,
2017,18-Jul,20:00,40,,,0,,
2017,18-Jul,20:00,50,53,4,49,JMK,
2017,18-Jul,21:00,0,113,0,113,VTR,
2017,18-Jul,21:00,10,,,0,,
2017,18-Jul,21:00,20,,,0,,
2017,18-Jul,21:00,30,,,0,,
2017,18-Jul,21:00,40,,,0,,
2017,18-Jul,21:00,50,,,0,,
2017,18-Jul,22:00,0,4,0,4,JMK,
2017,18-Jul,22:00,10,,,0,,
2017,18-Jul,22:00,20,,,0,,
2017,18-Jul,22:00,30,,,0,,
2017,18-Jul,22:00,40,,,0,,
2017,18-Jul,22:00,50,17,0,17,VTR,
2017,18-Jul,23:00,0,20,0,20,VTR,
2017,18-Jul,23:00,10,,,0,,
2017,18-Jul,23:00,20,,,0,,
2017,18-Jul,23:00,30,,,0,,
2017,18-Jul,23:00,40,,,0,,
2017,18-Jul,23:00,50,,,0,,
2017,19-Jul,0:00,0,13,0,13,JMK,
2017,19-Jul,0:00,10,,,0,,
2017,19-Jul,0:00,20,,,0,,
2017,19-Jul,0:00,30,,,0,,
2017,19-Jul,0:00,40,,,0,,
2017,19-Jul,0:00,50,,,0,,
2017,19-Jul,1:00,0,47,0,47,JMK,
2017,19-Jul,1:00,10,,,0,,
2017,19-Jul,1:00,20,,,0,,
2017,19-Jul,1:00,30,,,0,,
2017,19-Jul,1:00,40,,,0,,
2017,19-Jul,1:00,50,,,0,,
2017,19-Jul,2:00,0,8,3,5,JMK,
2017,19-Jul,2:00,10,,,0,,
2017,19-Jul,2:00,20,,,0,,
2017,19-Jul,2:00,30,,,0,,
2017,19-Jul,2:00,40,,,0,,
2017,19-Jul,2:00,50,,,0,,
2017,19-Jul,3:00,0,9,2,7,JMK,
2017,19-Jul,3:00,10,,,0,,
2017,19-Jul,3:00,20,,,0,,
2017,19-Jul,3:00,30,,,0,,
2017,19-Jul,3:00,40,,,0,,
2017,19-Jul,3:00,50,,,0,,
2017,19-Jul,4:00,0,6,0,6,JMK,
2017,19-Jul,4:00,10,,,0,,
2017,19-Jul,4:00,20,,,0,,
2017,19-Jul,4:00,30,,,0,,
2017,19-Jul,4:00,40,,,0,,
2017,19-Jul,4:00,50,23,7,16,VTR,
2017,19-Jul,5:00,0,56,0,56,VTR,
